,Monit_MAP_CODE1,Year,LAKE_NAME,Mean_Secchi_Depth_Result,Mean_Phosporus_Result,Mean_EMV_Total,STD_EMV_Total,Mean_Sale_Value,STD_Sale_Value,Mean_Total_Tax,STD_Total_Tax,Mean_Garage_Size,STD_Garage_Size,Mean_Fin_SQ_FT,STD_Fin_SQ_FT,Percentage_Yes_Basement,Percentage_Yes_Garage,Percentage_Yes_Tax_Exempt,Percentage_Air_Cooling,Percentage_AC_Cooling,Percentage_Central_Cooling,Percentage_Other_Cooling,Percentage_No_Cooling,Percentage_Air_Heating,Percentage_Space_Heating,Percentage_Water_Heating,Percentage_Electric_Heating,Percentage_Other_Heating,Percentage_No_Heating
149,19002700-01,2008,Crystal Lake,1.9239130434782612,0.03760869565217393,307159.388185654,207886.51132268237,141623.56012658228,155244.2800794489,3405.537447257384,3647.6443077633603,,,2161.5353375527425,1185.4760587299254,0.0,0.0,4.852320675105485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,19002700-01,2007,Crystal Lake,1.5636363636363635,0.04481818181818182,313219.2612137203,204404.39846905993,137342.84432717678,149721.4845319024,3250.0717678100264,3394.1188086051015,,,2163.441160949868,1183.269465898576,0.0,0.0,4.802110817941953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,19002700-01,2006,Crystal Lake,1.9269230769230767,0.04426923076923077,307760.09488666314,196077.6049880228,132857.16710595676,144891.42707100362,3101.1908276225618,3210.9561230440595,,,2158.2419609910385,1182.205253571342,0.0,0.0,4.797047970479705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,19002700-01,2005,Crystal Lake,1.4681818181818185,0.064,282631.9451765946,171338.6899047975,126271.46863468635,141820.45191034698,2717.36004217185,2818.56156710077,,,2152.011070110701,1174.4728381968641,0.0,0.0,4.797047970479705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,19002700-01,2004,Crystal Lake,1.9400000000000002,0.04,251527.38786279684,144926.7745931203,119127.43430079156,136111.9206092607,2579.7007915567283,2831.993123100159,,,2120.8870712401053,1150.9673223437258,0.0,0.0,4.802110817941953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,19002900-01,2014,Lee Lake,2.690909090909091,0.02145454545454546,322857.4132492113,597721.9360486227,178808.70820189273,288439.371296206,6112.31309148265,18505.26552085643,394.2618296529968,282.332120490914,2758.102523659306,5462.3883683963495,0.0,72.2397476340694,7.097791798107256,77.9968454258675,1.1041009463722398,6.151419558359621,2.760252365930599,0.9463722397476341,87.22397476340694,0.6309148264984227,0.47318611987381703,0.0,0.47318611987381703,0.15772870662460567
155,19002900-01,2013,Lee Lake,2.190909090909091,0.024181818181818183,302035.9621451104,592830.91462802,178430.3643533123,288741.12872729107,5928.2484227129335,18001.84862989695,392.5283911671924,282.7240197298705,2733.1388012618295,5465.777650873231,0.0,71.76656151419559,7.097791798107256,77.6813880126183,1.1041009463722398,6.151419558359621,2.602523659305994,0.9463722397476341,86.75078864353313,0.6309148264984227,0.47318611987381703,0.0,0.47318611987381703,0.15772870662460567
156,19002900-01,2012,Lee Lake,1.853846153846154,0.0436923076923077,301022.79179810727,593008.8807938116,175766.5362776025,288279.3629468602,5946.469242902208,17063.503301864916,437.32513181019334,263.48697137049624,2733.9716088328078,5465.667195922993,0.0,71.76656151419559,7.255520504731862,77.6813880126183,1.1041009463722398,6.151419558359621,2.602523659305994,0.9463722397476341,86.75078864353313,0.6309148264984227,0.47318611987381703,0.0,0.47318611987381703,0.15772870662460567
157,19002900-01,2011,Lee Lake,2.4,0.0377,316346.56126482214,590349.0138106712,135100.25217391303,208369.8579370418,5925.120948616601,16756.773153309303,438.38981562774364,265.34411937860244,2739.9675889328064,5470.132418449551,0.0,72.01581027667984,7.2727272727272725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,19002900-01,2010,Lee Lake,3.0416666666666665,0.027750000000000007,317430.2091402014,596664.3737874463,166569.53214562355,283120.3207007119,5801.045701006971,16533.215957189244,,,2672.3470178156467,5506.102472777418,0.0,0.0,7.126258714175059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
